region_i,region_j,deltaE00,deltaE76
gamut_007_myyy,gamut_029_cmcy,28.06030501437079,46.862318959018516
gamut_007_myyy,gamut_030_ccmcy,31.022234526915113,54.23558778143262
gamut_007_myyy,gamut_031_cccmcy,34.21359048707426,58.703346891555086
gamut_007_myyy,gamut_032_cccmcc,47.07416122885693,90.96862789072071
gamut_007_myyy,gamut_033_cccmc,46.96443852210121,90.25958304139186
gamut_007_myyy,gamut_034_cccm,47.3238437144016,90.47647477028843
gamut_007_myyy,gamut_035_ccm,47.18513318316455,87.20505082220136
gamut_007_myyy,gamut_036_cmcmcy,32.72688172721913,56.132011619762174
gamut_007_myyy,gamut_037_ccmcm,46.89967748628334,85.529567001575
gamut_007_myyy,gamut_038_cm,46.84137049179793,84.53806805867565
gamut_007_myyy,gamut_039_cmcmy,30.254251743401667,50.642255801847206
gamut_007_myyy,gamut_040_cmcmm,46.27944209695097,81.66613744587214
gamut_007_myyy,gamut_041_cmm,45.92412080522281,79.23104411784996
gamut_007_myyy,gamut_042_cmcmym,34.729158093002155,54.66248210600618
gamut_007_myyy,gamut_043_cmmm,45.43793747486826,76.54872096231826
gamut_007_myyy,gamut_044_mcmmm,45.337028644089585,74.94335682088979
gamut_007_myyy,gamut_045_mmcmmm,44.93327104769062,73.92443790054129
gamut_007_myyy,gamut_046_m,42.13218833874724,68.9719111807727
gamut_007_myyy,gamut_047_cmym,24.102015818625073,40.18319048514756
gamut_007_myyy,gamut_048_cmmym,31.494059405092884,47.46943213932234
gamut_007_myyy,gamut_049_cmmmym,34.69690240385039,51.43969281794034
gamut_007_myyy,gamut_050_mmmymm,32.77576500651725,48.20103181521932
gamut_007_myyy,gamut_051_mmmym,30.749880612457467,44.74191236172199
gamut_007_myyy,gamut_052_mmmy,26.40492138164681,37.67209187264797
gamut_007_myyy,gamut_053_mmy,21.15580892314312,29.908553667765737
gamut_007_myyy,gamut_054_cmymym,19.74419912073619,33.385814135018975
gamut_007_myyy,gamut_055_mmymy,17.109076559987237,24.07170979597358
gamut_008_ymyyy,gamut_009_yymyyy,3.79322871575789,5.464729034678769
gamut_008_ymyyy,gamut_010_y,26.088536786241058,41.99906596381856
gamut_008_ymyyy,gamut_011_cymy,20.322827269446226,30.693365130936172
gamut_008_ymyyy,gamut_012_cymyy,19.04468373187026,27.478631871496653
gamut_008_ymyyy,gamut_013_cymyyy,18.638747226843652,26.24061177607824
gamut_008_ymyyy,gamut_014_yycyyy,26.95235304990501,41.956123387288045
gamut_008_ymyyy,gamut_015_ycyyy,27.553318332647486,42.676961951071945
gamut_008_ymyyy,gamut_016_cyyy,28.451039243995414,43.755880976951374
gamut_008_ymyyy,gamut_017_cyy,29.63100423102484,45.50988818888609
gamut_008_ymyyy,gamut_018_cycymy,23.956414031553575,34.40064074324192
gamut_008_ymyyy,gamut_019_cycyy,30.52563646799658,46.95736248646433
gamut_008_ymyyy,gamut_020_cy,31.43713201300113,48.364195686405914
gamut_008_ymyyy,gamut_021_cmycy,24.7966670644072,38.26889120797092
gamut_008_ymyyy,gamut_022_ccycy,32.20529031711741,50.01536157680507
gamut_008_ymyyy,gamut_023_ccy,32.47893047433977,51.199999023987665
gamut_008_ymyyy,gamut_024_cmcycy,28.21011859239201,44.905152766488435
gamut_008_ymyyy,gamut_025_cccy,33.131702056629926,54.800769256169566
gamut_008_ymyyy,gamut_026_cccyc,34.016175449295325,59.5860677285868
