region_i,region_j,deltaE00,deltaE76
gamut_003_myy,gamut_029_mmy,15.831694772711742,21.594228792952293
gamut_003_myy,gamut_030_mmymy,12.403657505862688,16.994237177568746
gamut_004_ymyy,gamut_005_yymyy,0.8707833949189488,1.2627542394936024
gamut_004_ymyy,gamut_006_y,31.175545656136773,49.611520161884734
gamut_004_ymyy,gamut_007_yycyy,32.043991789260254,48.0647672452394
gamut_004_ymyy,gamut_008_ycyy,32.461792851932,48.283499410850986
gamut_004_ymyy,gamut_009_cyy,32.82262770633728,48.52582352002465
gamut_004_ymyy,gamut_010_cycyy,33.10805155825903,48.777617767892565
gamut_004_ymyy,gamut_011_cy,33.46863542126787,48.88803709264275
gamut_004_ymyy,gamut_012_ccycy,33.30977197913527,48.37543258931469
gamut_004_ymyy,gamut_013_ccy,33.22944864611023,48.776832427067944
gamut_004_ymyy,gamut_014_ccyc,33.42475866882869,51.55245783228006
gamut_004_ymyy,gamut_015_ccycc,33.7812700145742,54.849257696281306
gamut_004_ymyy,gamut_016_c,44.45109319745965,86.88244645233645
gamut_004_ymyy,gamut_017_ccmcc,44.84136357674725,82.34835696924753
gamut_004_ymyy,gamut_018_ccmc,45.303770865151,81.46007937071438
gamut_004_ymyy,gamut_019_ccm,45.03006236247384,78.4886621271584
gamut_004_ymyy,gamut_020_ccmcm,45.108679525565535,77.84411144899053
gamut_004_ymyy,gamut_021_cm,44.94284929319105,75.84714530009741
gamut_004_ymyy,gamut_022_cmcmm,44.792943456891884,74.76935391413872
gamut_004_ymyy,gamut_023_cmm,44.61899074799559,73.57449186940465
gamut_004_ymyy,gamut_024_mcmm,44.03912965344604,70.956037764863
gamut_004_ymyy,gamut_025_mmcmm,43.90204689845716,70.49298105961648
gamut_004_ymyy,gamut_026_m,40.23291149214628,63.72809435014754
gamut_004_ymyy,gamut_027_mmymm,28.92913037069146,40.547066368392805
gamut_004_ymyy,gamut_028_mmym,25.094089488756175,34.61923992643009
gamut_004_ymyy,gamut_029_mmy,19.607039221873794,26.730867218117886
gamut_004_ymyy,gamut_030_mmymy,16.16575315591384,22.13655969518376
gamut_005_yymyy,gamut_006_y,30.450878209391437,48.483037196483934
gamut_005_yymyy,gamut_007_yycyy,31.2317576833864,47.049854183713144
gamut_005_yymyy,gamut_008_ycyy,31.666762636011672,47.32559045630337
gamut_005_yymyy,gamut_009_cyy,32.04970121367867,47.63357143806705
gamut_005_yymyy,gamut_010_cycyy,32.34646968214371,47.921688436606196
gamut_005_yymyy,gamut_011_cy,32.742585313898914,48.1361487438134
gamut_005_yymyy,gamut_012_ccycy,32.6748875418611,47.86328920844934
gamut_005_yymyy,gamut_013_ccy,32.665657942736615,48.432520952063385
gamut_005_yymyy,gamut_014_ccyc,33.0243284291208,51.52059313068162
gamut_005_yymyy,gamut_015_ccycc,33.543918727105705,55.00733837765373
gamut_005_yymyy,gamut_016_c,44.92881071168129,87.71831739504404
gamut_005_yymyy,gamut_017_ccmcc,45.403089609408525,83.24115711415546
gamut_005_yymyy,gamut_018_ccmc,45.88475120483976,82.36737960160451
gamut_005_yymyy,gamut_019_ccm,45.6260436429525,79.40385109141094
gamut_005_yymyy,gamut_020_ccmcm,45.720282783613065,78.771819762068
gamut_005_yymyy,gamut_021_cm,45.58371623908621,76.79789817875891
gamut_005_yymyy,gamut_022_cmcmm,45.473938050143126,75.7559792769604
gamut_005_yymyy,gamut_023_cmm,45.321898080208,74.58103514442442
gamut_005_yymyy,gamut_024_mcmm,44.77148274025613,71.99044555940814
gamut_005_yymyy,gamut_025_mmcmm,44.67317956650262,71.56769461402558
gamut_005_yymyy,gamut_026_m,41.13397069488498,64.94539666174998
gamut_005_yymyy,gamut_027_mmymm,29.76850370487009,41.75554229440691
gamut_005_yymyy,gamut_028_mmym,25.923481147869985,35.82858785053851
gamut_005_yymyy,gamut_029_mmy,20.421549860723122,27.934244701779875
gamut_005_yymyy,gamut_030_mmymy,16.98811246593141,23.351294824377234
gamut_006_y,gamut_007_yycyy,21.774805582436827,36.36736775403995
gamut_006_y,gamut_008_ycyy,23.485429204856292,39.681093380005194
gamut_006_y,gamut_009_cyy,25.724447645934085,43.46826472913382
gamut_006_y,gamut_010_cycyy,26.22251069948256,44.969793322745424
gamut_006_y,gamut_011_cy,27.674598914843724,48.94640444099808
gamut_006_y,gamut_012_ccycy,30.599928110384763,56.745556768449134
gamut_006_y,gamut_013_ccy,32.89827784715307,62.12214086280261
gamut_006_y,gamut_014_ccyc,37.360811236577085,72.4761189944898
gamut_006_y,gamut_015_ccycc,40.787324917390606,79.59654279652237
gamut_006_y,gamut_016_c,64.59900787255165,123.4922231770691
gamut_006_y,gamut_017_ccmcc,69.4387445272112,122.11251993527065
gamut_006_y,gamut_018_ccmc,71.45231615154674,122.13386998920524
gamut_006_y,gamut_019_ccm,72.36547130904921,119.92278429262106
gamut_006_y,gamut_020_ccmcm,73.143096799455,119.74359583447838
gamut_006_y,gamut_021_cm,74.10813539489,118.59287316878557
gamut_006_y,gamut_022_cmcmm,74.70760640484338,118.32355099081596
gamut_006_y,gamut_023_cmm,75.11125214773496,117.67917223569191
gamut_006_y,gamut_024_mcmm,75.26167549731807,115.87229865512538
gamut_006_y,gamut_025_mmcmm,75.59096337340527,116.11894533337171
gamut_006_y,gamut_026_m,72.1526867993116,111.28892641989644
gamut_006_y,gamut_027_mmymm,59.681265851780005,88.97044192336
gamut_006_y,gamut_028_mmym,55.73987055367563,83.26061332587884
gamut_006_y,gamut_029_mmy,50.280144639677054,75.64732291426569
gamut_006_y,gamut_030_mmymy,46.78092458462668,71.1224462781969
gamut_007_yycyy,gamut_008_ycyy,1.8739819988444892,3.666726664151114
gamut_007_yycyy,gamut_009_cyy,4.271899061859665,7.72435697960295
gamut_007_yycyy,gamut_010_cycyy,4.914317890585309,9.532454149915464
gamut_007_yycyy,gamut_011_cy,6.89815506500926,14.522234452766433
gamut_007_yycyy,gamut_012_ccycy,11.168656878703612,24.686221900608142
gamut_007_yycyy,gamut_013_ccy,14.38655020117666,31.35282053575485
gamut_007_yycyy,gamut_014_ccyc,21.104913960300532,43.90020539501572
gamut_007_yycyy,gamut_015_ccycc,26.713806359790954,52.38629031105729
gamut_007_yycyy,gamut_016_c,56.49481654441553,102.96674064551053
gamut_007_yycyy,gamut_017_ccmcc,56.50328223433286,101.69979379296495
gamut_007_yycyy,gamut_018_ccmc,56.75554801972995,101.73497544493478
gamut_007_yycyy,gamut_019_ccm,56.02448633569786,99.65401659304882
gamut_007_yycyy,gamut_020_ccmcm,55.86492667093398,99.71290065732157
gamut_007_yycyy,gamut_021_cm,65.7893704573998,99.1103158674504
gamut_007_yycyy,gamut_022_cmcmm,66.70583796016523,99.7617164737723
gamut_007_yycyy,gamut_023_cmm,67.08638122539946,99.66626292966338
gamut_007_yycyy,gamut_024_mcmm,67.21834201145386,98.73671504211161
gamut_007_yycyy,gamut_025_mmcmm,68.20697897747745,100.17753918845992
gamut_007_yycyy,gamut_026_m,68.75509096670268,101.59834800983297
gamut_007_yycyy,gamut_027_mmymm,57.175240584093316,80.47877736754714
gamut_007_yycyy,gamut_028_mmym,53.776755721806964,75.4420409663188
gamut_007_yycyy,gamut_029_mmy,48.85216510092341,68.61744841486578
gamut_007_yycyy,gamut_030_mmymy,46.02613515649559,65.09458077942071
gamut_008_ycyy,gamut_009_cyy,2.426900743566271,4.085912330496417
gamut_008_ycyy,gamut_010_cycyy,3.0462194396231266,5.871920275851423
gamut_008_ycyy,gamut_011_cy,5.0698777353229865,10.912361497286186
gamut_008_ycyy,gamut_012_ccycy,9.451116703157028,21.228170246757934
gamut_008_ycyy,gamut_013_ccy,12.730827850360969,27.964778948696278
gamut_008_ycyy,gamut_014_ccyc,19.616426869672317,40.62247396606212
gamut_008_ycyy,gamut_015_ccycc,25.39360971723927,49.174248686901265
gamut_008_ycyy,gamut_016_c,54.89450994480857,100.1081847762915
gamut_008_ycyy,gamut_017_ccmcc,54.82010419552231,98.91043886742017
gamut_008_ycyy,gamut_018_ccmc,55.06181417942657,98.96892873142926
