region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
21,cgy_full_021_cygcg,cgy,full,cmycy,cygcg,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#57c980,0.3411764705882353,0.788235294117647,0.5003921568627451,73.11841289296575,-48.74753519687091,27.198873925873567,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full
22,cgy_full_022_ccgcg,cgy,full,ccycy,ccgcg,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#30c4ac,0.18666666666666665,0.7701960784313725,0.6729411764705883,71.71688235528099,-43.684436947561466,1.5272197876999183,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full
23,cgy_full_023_ccg,cgy,full,ccy,ccg,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#31c5b4,0.19346405228758168,0.7725490196078431,0.7045751633986929,72.14281218826366,-41.58939309555265,-2.2366494280815052,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full
24,cgy_full_024_cycgcg,cgy,full,cmcycy,cycgcg,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#52c98f,0.32222222222222224,0.7875816993464051,0.5607843137254902,73.20504300905542,-46.75112545731802,19.167382449177815,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full
25,cgy_full_025_cccg,cgy,full,cccy,cccg,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#34c6be,0.2019607843137255,0.7754901960784314,0.7441176470588236,72.68987247128358,-38.88855397306784,-6.912150447912335,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full
26,cgy_full_026_ccccg,cgy,full,ccccy,ccccg,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#35c6c4,0.20705882352941174,0.7772549019607843,0.7678431372549019,73.02584082700399,-37.2278554452658,-9.700027346092321,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full
27,cgy_full_027_cccccg,cgy,full,cccccy,cccccg,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#36c6c8,0.21045751633986928,0.7784313725490195,0.7836601307189545,73.25301115855225,-36.10518063805268,-11.55085015663213,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full
28,cgy_full_028_c,cgy,full,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full
29,cgy_full_029_cycg,cgy,full,cmcy,cycg,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#65cb87,0.3950980392156863,0.7980392156862745,0.5284313725490196,74.4706038333752,-45.17079511101662,25.353031660511615,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full
30,cgy_full_030_ccycg,cgy,full,ccmcy,ccycg,0.6,0.2,0.2,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#5ccb98,0.3615686274509804,0.7952941176470588,0.5952941176470589,74.29243915253387,-43.577827096841716,16.032767388690704,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,5,5,full
