region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_o,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
11,coy_full_011_coyo,coy,full,cymy,coyo,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#cea744,0.8068627450980392,0.653921568627451,0.26666666666666666,70.21222210117344,3.7220933023951464,54.72653811251723,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full
12,coy_full_012_coyoo,coy,full,cymyy,coyoo,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#d89e3c,0.8454901960784313,0.6188235294117648,0.23372549019607844,68.93117258789403,12.326330198627222,57.34109136737337,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full
13,coy_full_013_coyooo,coy,full,cymyyy,coyooo,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#de9836,0.8712418300653595,0.5954248366013072,0.21176470588235297,68.18862954966791,18.093422365616117,59.16339770948322,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full
14,coy_full_014_cooooo,coy,full,cyyyyy,cooooo,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#de873a,0.8712418300653595,0.5294117647058824,0.22875816993464057,64.31997160462414,27.28085508308681,53.44997025976049,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full
15,coy_full_015_coooo,coy,full,cyyyy,coooo,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d88a41,0.8454901960784313,0.539607843137255,0.25411764705882356,64.14750524581225,23.470419875695757,50.02714971024815,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full
16,coy_full_016_cooo,coy,full,cyyy,cooo,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ce8e4b,0.8068627450980392,0.5549019607843138,0.29215686274509806,63.98872934671928,17.78112241715363,44.802992635941465,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full
17,coy_full_017_coo,coy,full,cyy,coo,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#bd945b,0.742483660130719,0.5803921568627451,0.35555555555555557,63.99290392327785,8.511679055524857,36.059701320051715,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full
18,coy_full_018_cocoyo,coy,full,cycymy,cocoyo,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#bda556,0.742483660130719,0.64640522875817,0.33856209150326805,68.30754707815757,-1.0000820484534212,43.51494253387682,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full
19,coy_full_019_cocoo,coy,full,cycyy,cocoo,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#b09968,0.6909803921568628,0.6007843137254902,0.40627450980392166,64.2370308163019,1.4527537576616845,29.19172331463644,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full
20,coy_full_020_co,coy,full,cy,co,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#9da17b,0.6137254901960785,0.6313725490196078,0.4823529411764706,64.99268099874395,-8.193904498525196,19.304729383075504,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
