region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_m,f_v,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
11,mvy_full_011_mvyv,mvy,full,cymy,mvyv,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#aa6aa5,0.6647058823529413,0.4137254901960784,0.6470588235294118,53.399253410586695,34.99110873076611,-21.440103073990247,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full
12,mvy_full_012_mvyvv,mvy,full,cymyy,mvyvv,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#9e66b7,0.6211764705882354,0.3992156862745098,0.7176470588235294,52.05449465432383,37.18969365095792,-34.073792421144034,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full
13,mvy_full_013_mvyvvv,mvy,full,cymyyy,mvyvvv,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#9763c3,0.5921568627450982,0.3895424836601307,0.7647058823529411,51.27483219024373,39.12906569688812,-42.276194449161665,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full
14,mvy_full_014_mvvvvv,mvy,full,cyyyyy,mvvvvv,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#804ded,0.5000000000000001,0.30065359477124187,0.9313725490196078,46.91475865389191,56.73748978257559,-73.60279609059697,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full
15,mvy_full_015_mvvvv,mvy,full,cyyyy,mvvvv,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#824bea,0.5105882352941177,0.2925490196078432,0.9176470588235294,46.55113040139975,57.32465652541086,-72.21111280381838,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full
16,mvy_full_016_mvvv,mvy,full,cyyy,mvvv,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#8648e5,0.5264705882352941,0.2803921568627451,0.8970588235294118,46.04496773045418,58.22162368876366,-70.04778407563721,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full
17,mvy_full_017_mvv,mvy,full,cyy,mvv,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#8d42dc,0.5529411764705882,0.2601307189542484,0.8627450980392157,45.31120392348,59.7498642644132,-66.23123816885285,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full
18,mvy_full_018_mvmvyv,mvy,full,cycymy,mvmvyv,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#a559b2,0.6450980392156863,0.3490196078431373,0.6960784313725491,49.84119532445598,44.765833893074756,-34.296032966713085,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full
19,mvy_full_019_mvmvv,mvy,full,cycyy,mvmvv,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#923ed5,0.5741176470588235,0.243921568627451,0.8352941176470589,44.8280240721982,60.991082424680044,-62.979505757944885,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full
20,mvy_full_020_mv,mvy,full,cy,mv,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#9b38cb,0.6058823529411764,0.2196078431372549,0.7941176470588236,44.284845982298684,62.859789877610375,-57.75650193520261,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
