region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
20,ylm_full_020_yl,ylm,full,cy,yl,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#e3d461,0.892156862745098,0.8313725490196078,0.3803921568627451,84.15520736693792,-8.730104128588545,57.68148747093511,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
21,ylm_full_021_ymlyl,ylm,full,cmycy,ymlyl,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#ddaf6c,0.8666666666666666,0.6847058823529412,0.4219607843137255,74.16013502367713,8.882551421583006,40.595202056015765,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full
22,ylm_full_022_yylyl,ylm,full,ccycy,yylyl,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#e9d64e,0.9137254901960784,0.8400000000000001,0.3043137254901961,85.02953160322268,-8.794139025000923,66.97830057317569,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full
23,ylm_full_023_yyl,ylm,full,ccy,yyl,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#edd841,0.9281045751633986,0.8457516339869281,0.25359477124183005,85.6395345111988,-8.632014537106992,72.49823506851614,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full
24,ylm_full_024_ymylyl,ylm,full,cmcycy,ymylyl,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#e3b75a,0.8888888888888888,0.7163398692810458,0.3516339869281046,76.52243658765067,5.5547642314519035,52.37262956052926,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full
25,ylm_full_025_yyyl,ylm,full,cccy,yyyl,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#f1da31,0.946078431372549,0.8529411764705882,0.19019607843137254,86.4293383471445,-8.224065116570255,78.42019236804148,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full
26,ylm_full_026_yyyyl,ylm,full,ccccy,yyyyl,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#f4db27,0.9568627450980391,0.8572549019607842,0.15215686274509804,86.91636496560015,-7.881167241053033,81.37129826882345,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full
27,ylm_full_027_yyyyyl,ylm,full,cccccy,yyyyyl,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#f6db20,0.9640522875816994,0.8601307189542484,0.12679738562091503,87.24601639640227,-7.615804146286099,83.0681711112142,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full
28,ylm_full_028_y,ylm,full,c,y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full
29,ylm_full_029_ymyl,ylm,full,cmcy,ymyl,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#e2a856,0.8872549019607843,0.6588235294117647,0.33725490196078434,72.81927348471565,12.90354163205032,49.87806598283997,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full
30,ylm_full_030_yymyl,ylm,full,ccmcy,yymyl,0.6,0.2,0.2,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#e8b345,0.9098039215686274,0.7019607843137254,0.2698039215686275,75.96281359879245,8.496333815036284,61.20883568741139,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,5,5,full
31,ylm_full_031_yyymyl,ylm,full,cccmcy,yyymyl,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.14433756729740643,#ecba39,0.9248366013071895,0.7307189542483661,0.22483660130718955,78.09010567363124,5.765551596351893,67.88542263886134,"[[0.22499999999999992, 0.07216878364870322], [0.29166666666666674, 0.0721687836487032], [0.3166666666666667, 0.08660254037844384], [0.23333333333333334, 0.2309401076758503], [0.20833333333333331, 0.21650635094610965], [0.175, 0.1587713240271471], [0.16666666666666666, 0.11547005383792512], [0.16666666666666666, 0.09622504486493762], [0.1833333333333334, 0.0866025403784438]]",6,5,5,full
