region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
11,cky_full_011_ckyk,cky,full,cymy,ckyk,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#587441,0.346078431372549,0.453921568627451,0.2549019607843137,45.49906814106762,-19.815333573880377,24.838830854914118,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full
12,cky_full_012_ckykk,cky,full,cymyy,ckykk,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#4b6138,0.29254901960784313,0.37882352941176467,0.21960784313725487,38.2711690380262,-16.44261410955411,20.52269927615564,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full
13,cky_full_013_ckykkk,cky,full,cymyyy,ckykkk,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#425432,0.2568627450980392,0.3287581699346405,0.196078431372549,33.32007017858031,-14.096782719633577,17.52696815598317,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full
14,cky_full_014_ckkkkk,cky,full,cyyyyy,ckkkkk,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#1a3235,0.10326797385620916,0.196078431372549,0.20915032679738557,19.077833939395852,-8.160479684978379,-5.0187367368481395,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full
15,cky_full_015_ckkkk,cky,full,cyyyy,ckkkk,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#1c383c,0.10823529411764707,0.21960784313725487,0.2352941176470588,21.56344951872375,-9.397080351688041,-5.825261967203177,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full
16,cky_full_016_ckkk,cky,full,cyyy,ckkk,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#1e4146,0.11568627450980393,0.2549019607843137,0.2745098039215686,25.232534499737326,-11.122406133232593,-6.973320342311229,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full
17,cky_full_017_ckk,cky,full,cyy,ckk,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#215057,0.1281045751633987,0.3137254901960784,0.3398692810457516,31.201352139765312,-13.748019559950198,-8.76521785817328,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full
18,cky_full_018_ckckyk,cky,full,cycymy,ckckyk,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#487253,0.28169934640522876,0.4464052287581699,0.32679738562091504,44.22938402361036,-21.753236913888557,12.385254203266937,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full
19,cky_full_019_ckckk,cky,full,cycyy,ckckk,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#235c64,0.1380392156862745,0.36078431372549014,0.39215686274509803,35.85791514832934,-15.68952102250737,-10.118639007132145,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full
20,cky_full_020_ck,cky,full,cy,ck,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#276e78,0.15294117647058825,0.43137254901960786,0.47058823529411764,42.669972071198394,-18.418486343153294,-12.051757629650407,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
