condition,corner_label,region_index,local_stack_token,stack_token,palette_family,n_replicates,source_files,f_bottom_left,f_top,f_bottom_right,f_c,f_y,f_m,site_x,site_y,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,max_height,max_run,distinct_lte,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,analysis_scale,f_w,f_l,f_n,f_k,f_o,f_v,f_g
full,cgm,14,cyyyyy,cggggg,CMY+OVG,1,DSC_4568cgm.tif,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,,0.0,0.4166666666666667,0.7216878364870322,0.14248366013071895,0.7549019607843137,0.46732026143790845,69.20760059093529,-55.532395145979685,26.201440610570415,6.0,5.0,5.0,1652.0,8955.0,3805.0,1686.0,1652.0,1686.0,1.0,0.65,0.65,8.0,98.0,4.307861160031348,34.0,0.020166073546856466,0.4470588266849518,0.800000011920929,0.572549045085907,75.50612600897188,-39.872649879756025,20.17123071219621,75.75220918425129,-39.17084968696991,19.22215134741271,6.880227495055269,17.92379635186468,1.2211916998804067,3.6388376591077995,1.0812854246015584,153.16554374880866,44.68452480309325,0.547112462006079,,,,,,,0.8333333333333334
full,cgm,15,cyyyy,cgggg,CMY+OVG,1,DSC_4568cgm.tif,0.2,0.8,0.0,0.2,,0.0,0.4,0.6928203230275509,0.14588235294117646,0.756078431372549,0.48313725490196074,69.38451407457569,-54.74696762165026,24.313311520147906,6.0,5.0,5.0,272.0,3921.0,1711.0,277.0,272.0,277.0,1.0,0.65,0.65,8.0,98.0,3.1527046808655075,5.0,0.018050541516245487,0.4431372582912445,0.7960784435272217,0.5882353186607361,75.10042504387059,-38.744799955390874,17.831329053801326,75.19082619407011,-38.435917376401825,17.563986929979663,6.7746294672540115,18.186728813121057,1.6462282796292314,2.7840978091405026,0.82619819358455,155.28692631265687,42.65109400013317,0.547112462006079,,,,,,,0.8
full,cgm,16,cyyy,cggg,CMY+OVG,1,DSC_4568cgm.tif,0.25,0.75,0.0,0.25,,0.0,0.375,0.649519052838329,0.15098039215686274,0.7578431372549019,0.5068627450980392,69.65493206278121,-53.52558376648942,21.47080457762005,6.0,5.0,5.0,771.0,5685.0,2487.0,787.0,771.0,787.0,1.0,0.65,0.65,8.0,98.0,2.876445071134965,16.0,0.020330368487928845,0.4470588266849518,0.7921568751335144,0.615686297416687,75.09001467719735,-36.848367155351724,14.421821863283867,75.12788621010361,-36.818442534803836,14.421053152755828,7.0032296747137055,18.903910553833718,1.288579904537119,2.0788170362596032,0.619987406815446,158.62547332463726,39.570078441568654,0.547112462006079,,,,,,,0.75
full,cgm,17,cyy,cgg,CMY+OVG,1,DSC_4568cgm.tif,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,,0.0,0.3333333333333333,0.5773502691896257,0.15947712418300652,0.7607843137254902,0.5464052287581699,70.11909101034699,-51.379409770592524,16.71680620874161,6.0,5.0,5.0,1246.0,7513.0,3179.0,1270.0,1246.0,1270.0,1.0,0.65,0.65,8.0,98.0,2.3967147298114413,24.0,0.01889763779527559,0.43921568989753723,0.7843137383460999,0.6392157077789307,74.4144884180788,-34.69327793235583,10.061428578195098,74.38378936580175,-34.72432019292356,9.905477283474932,6.79092835276504,18.47082797328112,1.140815053242868,1.9122301677008955,0.5243825797076502,163.8272651824501,36.1227889112373,0.547112462006079,,,,,,,0.6666666666666666
full,cgm,18,cycymy,cgcgmg,CMY+OVG,1,DSC_4568cgm.tif,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,,0.16666666666666666,0.41666666666666663,0.4330127018922193,0.26601307189542484,0.6522875816993464,0.5797385620915033,62.2938489256923,-33.300461922228905,0.9876508179321064,6.0,5.0,5.0,3633.0,15026.0,6432.0,3708.0,3633.0,3708.0,1.0,0.65,0.65,8.0,98.0,6.421683397989366,75.0,0.020226537216828478,0.4745098054409027,0.6980392336845398,0.6431372761726379,68.45687008607996,-21.451535988442906,1.4842992300515334,67.56501388048596,-20.709713673490697,1.7108569046653144,7.503834886983391,13.365123839792625,2.4574968111348716,5.548532539500223,1.550185531977219,176.0418336286848,21.502826336735193,0.547112462006079,,,,,,,0.5
full,cgm,19,cycyy,cgcgg,CMY+OVG,1,DSC_4568cgm.tif,0.4,0.6,0.0,0.4,,0.0,0.3,0.5196152422706631,0.16627450980392156,0.7631372549019607,0.5780392156862745,70.5025168827149,-49.568329246796715,12.90872904585223,6.0,5.0,5.0,1060.0,7112.0,3028.0,1082.0,1060.0,1082.0,1.0,0.65,0.65,8.0,98.0,3.1238531986652536,22.0,0.02033271719038817,0.43921568989753723,0.7764706015586853,0.6666666865348816,73.91824992366197,-32.82460236826201,6.447911781751081,73.80591266106774,-32.91233047370685,6.312456977587337,6.8019293016192695,18.26914835754777,1.3888039310275477,2.580329644063912,0.7500696954643359,168.8865863048071,33.45190707537848,0.547112462006079,,,,,,,0.6
full,cgm,20,cy,cg,CMY+OVG,1,DSC_4568cgm.tif,0.5,0.5,0.0,0.5,,0.0,0.25,0.4330127018922193,0.1764705882352941,0.7666666666666666,0.6254901960784314,71.09773669582923,-46.70624234791809,7.204954127429208,6.0,5.0,5.0,1809.0,9459.0,4031.0,1846.0,1809.0,1846.0,1.0,0.65,0.65,8.0,98.0,1.406540878227454,37.0,0.020043336944745395,0.4274509847164154,0.7647058963775635,0.6980392336845398,73.18928335818676,-29.889318942602326,0.015174246045157602,73.1537447922343,-29.964106031019544,0.13876337519023887,7.4760140780787046,18.408596225780798,0.5021759488648571,1.0258675116362896,0.2998149462493296,179.97091201098783,29.889322794441988,0.547112462006079,,,,,,,0.5
full,cgm,21,cmycy,cmgcg,CMY+OVG,1,DSC_4568cgm.tif,0.4,0.4,0.2,0.4,,0.2,0.4,0.34641016151377546,0.29411764705882354,0.6329411764705882,0.6180392156862745,61.288777286455314,-26.840258973581776,-5.954007937507622,6.0,5.0,5.0,2864.0,13750.0,5797.0,2922.0,2864.0,2922.0,1.0,0.65,0.65,8.0,98.0,6.824834482186621,58.0,0.019849418206707735,0.48627451062202454,0.6784313917160034,0.6745098233222961,67.35814398615084,-15.57523583584114,-5.165100825480362,66.48983009280633,-15.369308460362655,-5.119491337138523,8.167409345255027,12.820309390206306,2.428757775987508,5.272212820292299,1.5470494482172796,198.34668963674648,16.40933386458597,0.547112462006079,,,,,,,0.4
full,cgm,22,ccycy,ccgcg,CMY+OVG,1,DSC_4568cgm.tif,0.6,0.4,0.0,0.6,,0.0,0.2,0.34641016151377546,0.18666666666666665,0.7701960784313725,0.6729411764705883,71.71688235528099,-43.684436947561466,1.5272197876999183,6.0,5.0,5.0,1084.0,7124.0,3015.0,1101.0,1084.0,1101.0,1.0,0.65,0.65,8.0,98.0,3.6528853526382528,17.0,0.015440508628519528,0.4274509847164154,0.7529411911964417,0.7333333492279053,72.40974507098207,-26.452519441134413,-5.886548197033736,72.39752508002724,-26.222941086082148,-5.718079052483274,8.679639015741511,18.771867126702595,1.4997382960724703,2.668070133534294,0.8080638725113205,192.54575362437473,27.099579968324143,0.547112462006079,,,,,,,0.4
full,cgm,23,ccy,ccg,CMY+OVG,1,DSC_4568cgm.tif,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,,0.0,0.16666666666666666,0.28867513459481287,0.19346405228758168,0.7725490196078431,0.7045751633986929,72.14281218826366,-41.58939309555265,-2.2366494280815052,6.0,5.0,5.0,1249.0,7463.0,3212.0,1274.0,1249.0,1274.0,1.0,0.65,0.65,8.0,98.0,3.4240781445014634,25.0,0.019623233908948195,0.4274509847164154,0.7411764860153198,0.7529411911964417,71.90201355876309,-23.67928588069823,-9.627158914945433,71.92632099602078,-23.445077834964508,-9.73627128366213,9.74777049136952,19.376520712010592,1.2495014190474525,2.6343204177437443,0.7922440058377547,202.12491745568622,25.56150951320066,0.547112462006079,,,,,,,0.3333333333333333
