symmetry_strategy,symmetry_key,replicate_count,symmetry_classes,panel_names,sub_gamut_names,region_indices,labels,stack_tokens,fC_median,fM_median,fY_median,measured_L,measured_a,measured_b,measured_R,measured_G,measured_B,measured_hex,replicate_deltaE00_median,replicate_deltaE00_p90,replicate_deltaE00_max,example_global_label
panel_local_symmetry,panel_05_up|center|mix_0.000000_0.500000_0.500000,3,,panel_05_up,center,1;11;21,gamut_001_my;gamut_011_cy;gamut_021_cm,my;cy;cm,0.5,0.5,0.5,55.12864201936807,29.49336258130428,30.57745893959082,0.38039216,0.40784314,0.36862746,#61685e,39.95933879692523,48.685476638257185,50.867011098590176,panel_05_up__center::gamut_001_my
panel_local_symmetry,panel_05_up|corner_1|mix_0.000000_0.000000_1.000000,3,,panel_05_up,corner_1,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,52.46908602106136,4.928804295759981,-41.91519694688463,0.28235295,0.5019608,0.49019608,#48807d,29.820400820034443,61.56271106931659,69.49828863163712,panel_05_up__corner_1::gamut_006_y
panel_local_symmetry,panel_05_up|corner_1|mix_0.000000_0.200000_0.800000,6,,panel_05_up,corner_1,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,48.29265891813227,3.858721525709055,-16.857487525264496,0.30882354,0.44803924,0.48039216,#4f727b,23.481609675854727,43.44904922485782,48.99953807676169,panel_05_up__corner_1::gamut_005_yymyy
panel_local_symmetry,panel_05_up|corner_1|mix_0.000000_0.250000_0.750000,6,,panel_05_up,corner_1,4;8;14;18;24;28,gamut_004_ymyy;gamut_008_ycyy;gamut_014_ccyc;gamut_018_ccmc;gamut_024_mcmm;gamut_028_mmym,ymyy;ycyy;ccyc;ccmc;mcmm;mmym,0.25,0.25,0.25,45.83303657270524,5.0947879971776,-10.172418202628984,0.32549021499999997,0.41764705999999996,0.49215688,#536b7e,26.603617270553755,37.91924923595536,44.21571826489784,panel_05_up__corner_1::gamut_004_ymyy
panel_local_symmetry,panel_05_up|corner_1|mix_0.000000_0.333333_0.666667,6,,panel_05_up,corner_1,3;9;13;19;23;29,gamut_003_myy;gamut_009_cyy;gamut_013_ccy;gamut_019_ccm;gamut_023_cmm;gamut_029_mmy,myy;cyy;ccy;ccm;cmm;mmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,42.52031318961522,4.006896606543756,1.2020391945595401,0.32941177499999996,0.37745099000000004,0.43529412,#54606f,26.224014894188848,38.57014058504127,40.685456199362946,panel_05_up__corner_1::gamut_003_myy
panel_local_symmetry,panel_05_up|corner_1|mix_0.000000_0.400000_0.600000,6,,panel_05_up,corner_1,2;10;12;20;22;30,gamut_002_mymyy;gamut_010_cycyy;gamut_012_ccycy;gamut_020_ccmcm;gamut_022_cmcmm;gamut_030_mmymy,mymyy;cycyy;ccycy;ccmcm;cmcmm;mmymy,0.4,0.4,0.4,41.157212073677734,3.6451409521943425,4.189967707676207,0.337254915,0.37156863500000004,0.398039225,#565f66,28.373541665047497,37.88278084640824,39.20679143255268,panel_05_up__corner_1::gamut_002_mymyy
panel_local_symmetry,panel_05_up|corner_1|mix_0.000000_0.500000_0.500000,3,,panel_05_up,corner_1,1;11;21,gamut_001_my;gamut_011_cy;gamut_021_cm,my;cy;cm,0.5,0.5,0.5,40.35745591956764,4.042040916609785,2.770535669347418,0.30588236,0.3647059,0.3529412,#4e5d5a,26.986989835400625,37.18067850038987,39.72910066663717,panel_05_up__corner_1::gamut_001_my
panel_local_symmetry,panel_05_up|corner_2|mix_0.000000_0.000000_1.000000,3,,panel_05_up,corner_2,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,36.23432090773704,25.71725874141978,-5.046160086749785,0.61960787,0.1254902,0.28235295,#9e2048,23.15947619455682,59.06736131782897,68.044332598647,panel_05_up__corner_2::gamut_006_y
panel_local_symmetry,panel_05_up|corner_2|mix_0.000000_0.200000_0.800000,6,,panel_05_up,corner_2,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,31.968303498310874,22.074571932309723,-3.928610738595677,0.47156863,0.15686275,0.287254915,#782849,17.350402868569127,46.984017100594954,50.495786476291364,panel_05_up__corner_2::gamut_005_yymyy
panel_local_symmetry,panel_05_up|corner_2|mix_0.000000_0.250000_0.750000,6,,panel_05_up,corner_2,4;8;14;18;24;28,gamut_004_ymyy;gamut_008_ycyy;gamut_014_ccyc;gamut_018_ccmc;gamut_024_mcmm;gamut_028_mmym,ymyy;ycyy;ccyc;ccmc;mcmm;mmym,0.25,0.25,0.25,31.844207871066686,24.243975546939325,0.20027623035092734,0.42941176999999997,0.182352945,0.27647061,#6e2f47,18.00900542011772,40.57512230116838,44.10430742063121,panel_05_up__corner_2::gamut_004_ymyy
panel_local_symmetry,panel_05_up|corner_2|mix_0.000000_0.333333_0.666667,6,,panel_05_up,corner_2,3;9;13;19;23;29,gamut_003_myy;gamut_009_cyy;gamut_013_ccy;gamut_019_ccm;gamut_023_cmm;gamut_029_mmy,myy;cyy;ccy;ccm;cmm;mmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,32.28843190346426,29.123706616427533,4.326593001070549,0.370588245,0.22058824500000002,0.29019609,#5f384a,19.474594661571132,32.28145940366758,34.16882388465412,panel_05_up__corner_2::gamut_003_myy
panel_local_symmetry,panel_05_up|corner_2|mix_0.000000_0.400000_0.600000,6,,panel_05_up,corner_2,2;10;12;20;22;30,gamut_002_mymyy;gamut_010_cycyy;gamut_012_ccycy;gamut_020_ccmcm;gamut_022_cmcmm;gamut_030_mmymy,mymyy;cycyy;ccycy;ccmcm;cmcmm;mmymy,0.4,0.4,0.4,31.353084962738382,31.661590672377308,3.6128670194948174,0.34019608999999995,0.25294118,0.27941177500000003,#574147,19.049893667322387,27.482631604958854,29.32429372670273,panel_05_up__corner_2::gamut_002_mymyy
panel_local_symmetry,panel_05_up|corner_2|mix_0.000000_0.500000_0.500000,3,,panel_05_up,corner_2,1;11;21,gamut_001_my;gamut_011_cy;gamut_021_cm,my;cy;cm,0.5,0.5,0.5,30.830003120112167,32.55204816444032,3.270129681103773,0.32156864,0.27450982,0.26666668,#524644,19.2568781769504,21.893776861507078,22.553001532646245,panel_05_up__corner_2::gamut_001_my
panel_local_symmetry,panel_05_up|corner_3|mix_0.000000_0.000000_1.000000,3,,panel_05_up,corner_3,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,36.70735097328438,29.69286120794196,-34.39620610235625,0.19607843,0.1254902,0.3764706,#322060,19.200853625396828,26.09237716933549,27.815258055320154,panel_05_up__corner_3::gamut_006_y
panel_local_symmetry,panel_05_up|corner_3|mix_0.000000_0.200000_0.800000,6,,panel_05_up,corner_3,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,28.88846876160833,30.17444413888344,-35.30823415253582,0.245098045,0.14313726,0.4,#3f2566,10.482880466350593,18.394583799324707,19.809938351779348,panel_05_up__corner_3::gamut_005_yymyy
